"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"140"	5977	44.7992452375839	43.2722985826397	52.6143428081791	58.2661040771342	74.282607034219	39.0837784221549	40.0178436806348	47.9656185934199	52.9164247872288	69.8206978713465
"141"	6020	45.086609418945	42.8188293386229	50.3515586490968	56.1455762598543	72.1772135381859	39.1138589740175	39.5688533003036	46.2106818890784	51.2732379989249	68.0109958791861
"142"	6063	45.6447381316176	42.777317008592	48.4320959739726	56.0404167583441	69.661443506257	39.9052623047627	39.714365230143	45.1743585120436	50.9031394266899	66.5547609595369
"143"	6106	45.292337232319	42.5909808250056	47.8388170694384	56.6526329363417	69.2516944225502	40.0910254550731	39.6234262997155	44.2657182984471	51.9283192418706	65.5493638810906
"144"	6149	44.7175659511712	41.8740266950071	47.3520052674521	56.2035652021877	68.232684263168	39.213965772492	38.4507351436444	43.2312356119588	52.4250685399603	64.2188019890659
"145"	6192	45.3348005064719	43.4511445513417	47.7895982626427	56.2212537928605	67.0766440009266	39.5495599785359	38.3795682712093	43.1486736566295	52.6248456538933	62.4984280837427
"146"	6235	47.1549294954423	45.0574464432806	48.492983091535	58.1176022021376	66.7308072028039	40.6363882788353	39.0984758812781	44.3043632842756	54.0104405123497	62.0634338248463
"147"	6278	49.1010777677718	45.2231242378087	49.8260389308797	59.0090473380271	66.5232368152664	41.5147109469485	39.5600254361972	46.9017599797693	56.6262805824888	63.4559027280617
"148"	6321	50.3069890409711	44.6542978764519	51.4306124988176	57.6770262554402	67.5689202265316	42.2483250976232	39.695434400755	48.9376316819923	57.4710208992899	65.8877220468543
"149"	6364	50.9408068667034	44.6065844453677	52.1292224257213	59.4988318027137	69.2745329599182	43.4828817712578	40.6470139883345	49.7698592328888	58.7559213263746	67.9331815631915
"150"	6407	50.253664883596	43.9483836551676	52.4620049225007	62.0983068165352	70.3824274900019	43.7590139536095	41.1003440583249	50.7889895837584	61.6880834563015	69.2764400331925
"151"	6450	49.484652691124	43.7944253106409	54.1343886076332	61.5574616242937	71.2790029805647	43.4986548018674	41.5996907260776	51.8064601248235	62.1533469857623	69.4258781853251
"152"	6493	49.1845755958983	43.6656948399803	52.6201478305228	59.1859747216928	71.8468877975294	41.6935777845529	40.3030128026162	51.3523151915257	60.6465538325965	70.4383885546875
"153"	6536	49.8344978505149	44.6137629002105	49.9049281599464	59.6058785872526	71.7596282595159	41.8801341947289	39.9274215202363	50.1359233785142	59.9457054849808	71.4499355046714
"154"	6579	49.7033547885816	45.4039287512184	45.7301398177897	56.7549225297685	69.2765008578107	42.4912239628141	40.9786041473104	45.5625244643083	56.1406056360625	68.2770916533857
"155"	6622	48.3166678099123	45.0078869795498	44.4686993490742	54.5734965034603	66.45705695216	42.116457556523	41.4683876912754	42.3611639579339	51.8302614761912	64.4639454643484
"156"	6665	49.0853828227086	43.9347268169587	43.5565841192517	53.9657071917088	64.6107990755405	41.9986687215782	41.1030136883199	40.3309916977036	50.539543747976	62.5051227250062
"157"	6708	49.3742065994808	42.0497744452482	40.824042666017	52.1785039661528	63.8706635327625	40.7164567429636	38.715119295377	36.8751274460027	48.8995731719924	60.8998117876858
